date,country,rank,previous_rank,total_points,previous_points,flagUrl,countryUrl,conf
1992-12-31,Germany,1.0,,57.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GER,https://inside.fifa.com/fifa-world-ranking/GER,UEFA
1992-12-31,Italy,2.0,,57.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ITA,https://inside.fifa.com/fifa-world-ranking/ITA,UEFA
1992-12-31,Brazil,3.0,,56.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BRA,https://inside.fifa.com/fifa-world-ranking/BRA,CONMEBOL
1992-12-31,Sweden,4.0,,56.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SWE,https://inside.fifa.com/fifa-world-ranking/SWE,UEFA
1992-12-31,England,5.0,,55.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ENG,https://inside.fifa.com/fifa-world-ranking/ENG,UEFA
1992-12-31,Republic of Ireland,6.0,,54.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/IRL,https://inside.fifa.com/fifa-world-ranking/IRL,UEFA
1992-12-31,Netherlands,7.0,,54.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NED,https://inside.fifa.com/fifa-world-ranking/NED,UEFA
1992-12-31,Russia,8.0,,52.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/RUS,https://inside.fifa.com/fifa-world-ranking/RUS,UEFA
1992-12-31,Denmark,9.0,,52.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/DEN,https://inside.fifa.com/fifa-world-ranking/DEN,UEFA
1992-12-31,Argentina,10.0,,51.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ARG,https://inside.fifa.com/fifa-world-ranking/ARG,CONMEBOL
1992-12-31,Romania,11.0,,51.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ROU,https://inside.fifa.com/fifa-world-ranking/ROU,UEFA
1992-12-31,Switzerland,12.0,,51.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SUI,https://inside.fifa.com/fifa-world-ranking/SUI,UEFA
1992-12-31,Nigeria,13.0,,50.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NGA,https://inside.fifa.com/fifa-world-ranking/NGA,CAF
1992-12-31,Norway,14.0,,49.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NOR,https://inside.fifa.com/fifa-world-ranking/NOR,UEFA
1992-12-31,Spain,15.0,,49.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ESP,https://inside.fifa.com/fifa-world-ranking/ESP,UEFA
1992-12-31,Uruguay,16.0,,48.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/URU,https://inside.fifa.com/fifa-world-ranking/URU,CONMEBOL
1992-12-31,Belgium,17.0,,48.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BEL,https://inside.fifa.com/fifa-world-ranking/BEL,UEFA
1992-12-31,Czechoslovakia,18.0,,47.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TCH,https://inside.fifa.com/fifa-world-ranking/TCH,UEFA
1992-12-31,France,19.0,,46.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/FRA,https://inside.fifa.com/fifa-world-ranking/FRA,UEFA
1992-12-31,Poland,20.0,,46.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/POL,https://inside.fifa.com/fifa-world-ranking/POL,UEFA
1992-12-31,Egypt,21.0,,45.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/EGY,https://inside.fifa.com/fifa-world-ranking/EGY,CAF
1992-12-31,Cameroon,22.0,,43.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CMR,https://inside.fifa.com/fifa-world-ranking/CMR,CAF
1992-12-31,Scotland,23.0,,43.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SCO,https://inside.fifa.com/fifa-world-ranking/SCO,UEFA
1992-12-31,United States,24.0,,43.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/United States,https://inside.fifa.com/fifa-world-ranking/United States,CONCACAF
1992-12-31,Mexico,25.0,,43.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MEX,https://inside.fifa.com/fifa-world-ranking/MEX,CONCACAF
1992-12-31,Bulgaria,26.0,,41.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BUL,https://inside.fifa.com/fifa-world-ranking/BUL,UEFA
1992-12-31,Ivory Coast,27.0,,41.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CIV,https://inside.fifa.com/fifa-world-ranking/CIV,CAF
1992-12-31,Wales,28.0,,40.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/WAL,https://inside.fifa.com/fifa-world-ranking/WAL,UEFA
1992-12-31,Yugoslavia,29.0,,39.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/YUG,https://inside.fifa.com/fifa-world-ranking/YUG,UEFA
1992-12-31,Algeria,30.0,,39.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ALG,https://inside.fifa.com/fifa-world-ranking/ALG,CAF
1992-12-31,Greece,31.0,,38.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GRE,https://inside.fifa.com/fifa-world-ranking/GRE,UEFA
1992-12-31,Zambia,32.0,,38.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ZAM,https://inside.fifa.com/fifa-world-ranking/ZAM,CAF
1992-12-31,Portugal,33.0,,38.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/POR,https://inside.fifa.com/fifa-world-ranking/POR,UEFA
1992-12-31,Austria,34.0,,38.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/AUT,https://inside.fifa.com/fifa-world-ranking/AUT,UEFA
1992-12-31,Colombia,35.0,,36.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/COL,https://inside.fifa.com/fifa-world-ranking/COL,CONMEBOL
1992-12-31,Hungary,36.0,,36.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/HUN,https://inside.fifa.com/fifa-world-ranking/HUN,UEFA
1992-12-31,Costa Rica,37.0,,35.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CRC,https://inside.fifa.com/fifa-world-ranking/CRC,CONCACAF
1992-12-31,Tunisia,38.0,,35.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TUN,https://inside.fifa.com/fifa-world-ranking/TUN,CAF
1992-12-31,Ghana,39.0,,34.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GHA,https://inside.fifa.com/fifa-world-ranking/GHA,CAF
1992-12-31,Honduras,40.0,,32.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/HON,https://inside.fifa.com/fifa-world-ranking/HON,CONCACAF
1992-12-31,Morocco,41.0,,32.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MAR,https://inside.fifa.com/fifa-world-ranking/MAR,CAF
1992-12-31,Turkey,42.0,,31.0,0.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TUR,https://inside.fifa.com/fifa-world-ranking/TUR,UEFA
